Название Вакансии,URL,Название компании,Описание
QA Engineer /Инженер по тестированию (Web/мобильные приложения/решения CCTV/IPTV/OTT),https://vidnoe.hh.ru/vacancy/34051374?query=python, Netris,"Участие в разработке тест-планов и сценариев тестирования. Участие в разработке автотестов (Bash/Python, Selenium, Apache JMeter, etc).  ...скриптовых языков (Вash, Python). Будет плюсом опыт работы с SoapUI (включая написание автотестов) и опыт работы с Python Selenium Webdriver. "
Прикладной программист (Front-end программист),https://vidnoe.hh.ru/vacancy/33973777?query=python, AERODISK,"Разработка современного веб-интерфейса на стеке Reactjs, Python(Flask). Гибридная СХД. Scale-out СХД c поддержкой серверной виртуализации. Система мониторинга.  Опыт разработки интерфейсов с применением технологии Ajax. Базовые знания python, ООП, HTML, CSS. Базовые Знание Linux. Способность выполнять многочисленные сложные..."
Эксперт по автоматизированному тестированию (Python),https://vidnoe.hh.ru/vacancy/33208257?query=python, Почта Банк,Разработка решений для автоматизированного тестирования на Python (API/Web/mobile). Проведение автоматизированного тестирования. Поддержка решений для автоматизированного тестирования.  Опыт разработки автоматизированных тестов на Python. Знание SQL. Опыт работы с системами CI. Понимание жизненного цикла разработки программного обеспечения. 
Web-разработчик full-stack (Python/Django),https://vidnoe.hh.ru/vacancy/33679630?query=python,ООО Эйч Ди Эм Ди,"Техническая поддержка и сопровождение веб-сервиса. Разработка нового функционала. Интеграция сторонних сервисов. Анализ, доработка и рефакторинг существующего кода. Опыт frontend- и backend-разработки. Хорошие знания Python 3. Опыт разработки в фреймворке Django. Опыт работы с Git. "
MarCom and BI Head,https://vidnoe.hh.ru/vacancy/33787967?query=python, TPV CIS,"Marketing planning and budgeting of the annual performance indicators (KPI's) of the marketing department. Monitoring the achievement of annual... Higher education in marketing / economics / math. Advanced skills Excel, PowerPoint (programming in python is an advantage). Analytical skills, systems thinking. "
Data Engineer in Oil & Gas,https://vidnoe.hh.ru/vacancy/34081516?query=python,ООО Инжиниринговый Центр МФТИ по трудноизвлекаемым полезным ископаемым,"Выгрузка данных клиента, формирование витрины данных для проведения исследований в разрезе методов машинного обучения. Создание и непрерывная оптимизация общей архитектуры... Общее понимание методов машинного обучения. Знание Python, Matlab, C++, R, javascript. Знание инструментов Hadoop, Spark. Знание инструментов управления и планирования..."
Middle Data Analyst / Data Scientist,https://vidnoe.hh.ru/vacancy/33011924?query=python, OMD OM Group,"Кластерный анализ целевых аудиторий, их описание и ранжирование на основе поведенческих критериев и показателей конверсии. Формирование гипотез в области определения... Базовые знания теории вероятностей, математической статистики, линейной алгебры. Уверенное владение Python, включая библиотеки для анализа данных (NumPy, Pandas, Matplotlib, Scikit..."
Backend developer,https://vidnoe.hh.ru/vacancy/33878095?query=python,ЗАО ОКБ,"Разработка и проектирование backend'a для продуктов компании. Совместная работа в кросс-функциональной команде. Разработка архитектуры приложения с нуля.  Уверенные знания python (aiohttp 3.6+, celery, aiopg). Проектирование API для взаимодействия сервисов. Глубокие познания в механизмах контейнеризации (LXc..."
Product analyst,https://vidnoe.hh.ru/vacancy/33440112?query=python, Uchi.ru,"Поиск инсайтов в паттернах поведения пользователей. Анализ жизненного цикла клиента. Построение гипотез и их проверка через A/B-тесты.  Математика в разрезе стат.значимости эксперимента и границ применимости модели. Python на уровне простых сервисов, знакомство с Pandas, NumPy. "
Senior Data Scientist in Oil & Gas,https://vidnoe.hh.ru/vacancy/34081487?query=python,ООО Инжиниринговый Центр МФТИ по трудноизвлекаемым полезным ископаемым,"Формирование архитектуры решения задачи клиента в разрезе анализа больших данных, подбор метрик качества моделей в соответствии с бизнес запросом клиента.  Знание языка Python (в т.ч. библиотеки Pandas, Numpy, Scipy, Scikit-Learn, XGBoost). Знание фреймворков глубинного обучения (Keras, Pytorch, Tensorflow..."
Unreal Engine / C++ Developer,https://vidnoe.hh.ru/vacancy/33912669?query=python,ООО Метроком,"Написание кода в соответствии с поставленными задачами. Временная оценка поставленных задач (в трекере). Написание тестов, рефакторинг и документирование.  Профильное высшее образование. Опыт разработки под .NET Framework. Знание python, lua. Большим плюсом будет опыт разработки на любых игровых движках."
Senior Data Scientist,https://vidnoe.hh.ru/vacancy/33534949?query=python, Группа компаний SRG,"Разработка архитектурных решений, подбор нужных алгоритмов для улучшения качества автоматической оценки недвижимости: задачи регрессии, задачи классификации, кластеризационные алгоритмы.  Знание Python или Java, или С++ (в области машинного обучения). Знание стандартных алгоритмов, структур данных, математики. Знание современных методов машинного..."
Quantitative researcher,https://vidnoe.hh.ru/vacancy/33207281?query=python, Cindicator,"Проведение количественных исследований для рынков криптовалют. Исследования и разработка торговых стратегий. Анализ микроструктуры рынка. Комплексная визуализация данных. Понимание основ линейной алгебры, статистики и эконометрики. Прикладные знания Python (pandas, numpy, plotting). Понимание объектно-ориентированного программирования. Письменный и разговорный..."
Разработчик,https://vidnoe.hh.ru/vacancy/33697938?query=python,ООО ПАВЛИН ТЕХНО,"Операционные системы Windows, Linux. Среда разработки MS Visual Studio, PyCharm. Опыт работы со сверточными, полносвязными и реккуретными нейронными сетями (CNN, MLP, RNN). Языки программирования: C++ , Python, C#. Опыт работы в..."
Программист искусственный интеллект,https://vidnoe.hh.ru/vacancy/33623166?query=python,ООО АВАНТИС3Д,"Разработка алгоритмов, прототипирование и создание библиотеки для детектирования объектов в волюметрических КТ сканах для ортодонтических приложений (распознавание корней зубов, каналов... ...геометрии, линейной алгебры, численной оптимизации и математической статистики. - глубокие знания алгоритмов и структур данных. - опыт работы с C++ и Python."
С# Developer / Data Engineer,https://vidnoe.hh.ru/vacancy/33775060?query=python,ООО НОВОТЕХ," knows C# and ideally C++. - knowledge of Python for Data Science is a plus. - knows Git. - strong analytical skills, critical..."
Senior Full stack (JS/Python/.NET) developer (Upverter),https://vidnoe.hh.ru/vacancy/33962947?query=python,ООО Представительство компании Altium Europe GMBH,"Сферы использования продуктов: производство электроники, автомобилей, роботов, решения в телеком-сфере. Upverter.com – электронное CAD-решение для браузера, позволяющее упростить проектирование... Высшее техническое образование. Готовность «залезать» в код на Python/C#/Node.JS. Стремление развиваться в создании сложных проектов на инженерную тематику. "
"Full- stack разработчик (Python,React)",https://vidnoe.hh.ru/vacancy/32170344?query=python, Инфосистемы Джет,Разрабатывать на Python и внедрять backend для внутренних корпоративных систем. Помочь выстроить процесс разработки согласно best-practice и поможет перевести... Опыт коммерческой разработки клиент-серверных приложений от 3 -х лет. Профессиональный уровень владения Python 3. Готовность делиться знаниями и навыками. 
Frontend-разработчик,https://vidnoe.hh.ru/vacancy/33931015?query=python,ООО KTS Studio,"Разработка и поддержка фронтенда портала и внутренних систем. Создание удобных интерфейсов для преподавателей и для студентов. Создание инструментов для аналитики... Отлично, если есть опыт работы с React и его экосистемой. Желательны базовые знания Python, Django. Будет плюсом знание Go, Docker..."
Full-stack разработчик,https://vidnoe.hh.ru/vacancy/33836102?query=python, Group-IB,Разработка новых и доработка существующих сервисов компании. Написание unit-тестов. Активное участие в проектировании сервисов комапнии. Анализ данных. Хорошее знание JS. Хорошее знание Python или Golang (либо желание изучить Golang). Понимание нюансов асинхронного кода. Понимание принципов ООП и...
Devops-инженер,https://vidnoe.hh.ru/vacancy/33419693?query=python, Group-IB,"...и развитие нескольких крупных политик деплоя/обновлений (Ansible+Python). Контейнеризация приложений в Docker, поддержка существующих образов. Решение сопутствующих задачек на Python. Практический навык программирования на Python. Опыт использования git, Gitlab. Английский язык для беглого чтения документации. Широкий технический кругозор. "
Data Engineer (Clickstream),https://vidnoe.hh.ru/vacancy/32925865?query=python,ООО Центр недвижимости от Сбербанка,Организация хранения миллиардов событий. Создание платформы для расчета множества метрик на основе этих событий. Создание высоконагруженной системы сбора метрик с... Имеющего опыт работы с колоночными и NoSQL базами данных. Плюсом будет:
Программист С++,https://vidnoe.hh.ru/vacancy/33708805?query=python,ООО Финстарлабс," Знание boost, cocos2d, bash, SQL, JSON, C#, Java, python. Умение работать в команде и читать чужой код, ответственность..."
Программист-разработчик Node.js (JavaScript) + Python,https://vidnoe.hh.ru/vacancy/34072852?query=python,ООО Телеком-Биржа,Работа с NoSQL решениями. Работа с внешними API включая сбор данных с оборудования. Визуализация данных. Работа с Docker (не k... Опыт работы с Node.JS от 3 лет. Опыт работы с Python от 3 лет. Опыт работы с Docker Compose. 
Инженер-программист,https://vidnoe.hh.ru/vacancy/33880655?query=python,ООО Софтлоджик Рус,"поддержка и доработка существующих проектов, а также участие в разработке новых. базовые знания Python 3. - базовые знания HTML-CSS верстки, Javascript. - опыт работы с ОС семейства Linux, знание Bash/Unix shell. - "
Программист С++,https://vidnoe.hh.ru/vacancy/33624446?query=python, Адалиск,Разработка CAD системы. Написание кода инфраструктурных классов. Создание новых и усовершенствование существующих алгоритмов для работы с 3D моделями.  ...аналитической геометрии и линейной алгебры). Знание английского языка на уровне необходимом для ведения переписки. Опыт использования Python. Опыт использования Linux.
Frontend-разработчик,https://vidnoe.hh.ru/vacancy/33674532?query=python,АО НейроТренд,"Разработка frontend-приложений с использованием Vue.js. Поддержка и улучшение существующего функционала. Опыт работы с модулями Vuex, Vue Router, Vuetify. Опыт работы с Python: Django, Django Rest Framework, Falcon. Опыт работы с..."
"Программист-разработчик автономного коптера/дрона (STM32, C/C++)",https://vidnoe.hh.ru/vacancy/33792287?query=python, Marvelmind Robotics,"Причесывание существующих и написание новых модулей, чтобы доделать микро-дроны для автономного полета внутри помещения на основе Marvelmind Precise (±2... Опыт написания софта для STM32. Обязательны примеры успешных предыдущих проектов - высылайте описание сделанного. Опыт с PixHawk. PX4, ArduPilot. "
Data Engineer,https://vidnoe.hh.ru/vacancy/33957914?query=python, RJ Games,"Проектирование и разработка процедур загрузки/выгрузки данных (ETL) в хранилище данных и аналитические системы. Проверка корректности данных, поступающих в хранилище.  Отличное знание SQL. Опыт написания скриптов на R/Python. Опыт проектирования баз данных, создание индексов, представлений etc. Опыт разработки в..."
QA Automation Engineer / Специалист по автоматизированному тестированию,https://vidnoe.hh.ru/vacancy/33699848?query=python,ООО Профцентр СПЕЦИАЛИСТ,"Разработка тест-кейсов для автоматизированных тестов. Настройка тестового окружения. Разработка фреймворка автоматизации. Разработка и отладка автоматизированных тестов, тестовых скриптов.  Практический опыт разработки автоматизированных тестов. Опыт написания скриптов cmd/bat, C#, Python, bash, JScript, Power Shell. Базовые знания ООП. "
Fullstack developer Django/Python (middle level),https://vidnoe.hh.ru/vacancy/34060887?query=python, Университет НТИ 20.35,"Работа с образовательными платформами. Написание надежных систем обработки и высоконагруженных приложений. Участие в разработке нового функционала и поддержка текущего.  Django, Python, HTML, JS. Mysql/postgres. Celery. REST. Git. Linux shell. Jira. Docker. Опыт удаленной работы!"
Ведущий аналитик (Data scientist),https://vidnoe.hh.ru/vacancy/31690680?query=python,ООО КЭШОФФ,"Исследование данных на предмет закономерностей. Анализ и контроль качества данных. Исследование математических алгоритмов обработки данных. Ручная и автоматическая выгрузка и... Владение каким-либо языком программирования: Python (приветствуется), C, C++, C#, Java или любой другой. Свободное владение основными алгоритмами работы с..."
C++ Developer,https://vidnoe.hh.ru/vacancy/33933682?query=python, RJ Games,Разработка новой мобильной игры на авторском движке. Создание новых фичей и механик. Поддержка и рефакторинг существующего кода. Разработка и поддержка... Навыки работы с Сmake. Умение писать аккуратный поддерживаемый код. Знание Python. Наличие портфолио в публичных репозиториях. Наличие завершенных проектов. 
Разработчик React (React-native) front-end,https://vidnoe.hh.ru/vacancy/33791514?query=python,АО ЛеКлик,"LeClick для посетителей ресторанов – это удобный и понятный сервис по поиску, подбору и онлайн бронированию ресторанов. Мы помогаем в считанные... HTML5, CSS3. Большим плюсом будет базовое PHP или Python для облегчения коммуникации в команде."
Multi-sensor Fusion Engineer,https://vidnoe.hh.ru/vacancy/33676171?query=python, HUAWEI,"1) Responsible for intelligent transportation and V2X multi-sensor (video, radar, etc.) preprocessing algorithms (data cleaning, trajectory tracking... 1) CS, robotics, mathematics,EE related majors. 4) Proficient in at least one programming language (C/C++/Python)."
Senior PHP developer,https://vidnoe.hh.ru/vacancy/33606282?query=python, retailCRM,"Разрабатывать сервисы под очень большую нагрузку. Проектировать и совершенствовать дизайн сервисов. Планировать работы, оценивать задачи. Писать тесты для своих решений.  Опыт программирования на одном из языков Go, PHP, Python, Javascript от 3 лет, знать сильные и слабые стороны языка и..."
Research Manager / Исследователь (количественные исследования),https://vidnoe.hh.ru/vacancy/34028095?query=python,ООО Авентика,"Участвовать в обсуждении деталей исследовательских проектов. Разрабатывать программы исследований и инструментарий. Осуществлять проверку и обработку данных. Анализировать полученные данные и... Владение методами статистического анализа: регрессионный, факторный, кластерный анализ, деревья решений. Уверенное владение PowerPoint, Excel, SPSS. Python и R как преимущество."
Data Engineer/Analyst,https://vidnoe.hh.ru/vacancy/33933619?query=python, RJ Games,"Проектирование и разработка процедур загрузки/выгрузки данных (ETL) в хранилище данных и аналитические системы. Проверка корректности данных, поступающих в хранилище.  Отличное знание SQL. Опыт написания скриптов на R/Python. Опыт проектирования баз данных, создание индексов, представлений etc. Опыт разработки в..."
Системный администратор Linux,https://vidnoe.hh.ru/vacancy/34029486?query=python, B2B-Center,"Участие в эксплуатации веб-платформы. Сопровождение и развитие IT- инфраструктуры компании. Оптимизация рабочих процессов. Документирование инфраструктуры и процессов. Опыт работы с системами Ansible, Docker. Хорошее владение Bash, Python. Опыт работы с операционными системами и технологиями Microsoft (Windows Server..."
"Ведущий разработчик Oracle, PostgreSQL",https://vidnoe.hh.ru/vacancy/32070618?query=python," СОКБ, НИИ","Разработка структуры БД. Разработка серверной части (пакеты, процедуры, триггеры и т.д.), оптимизация запросов. Понимание Git Flow. Знание Jenkins. Английский язык – технический. Опыт работы с Linux на уровне опытного пользователя приветствуется. Желательно знание Python."
Visual Localization Algorithm Engineer,https://vidnoe.hh.ru/vacancy/33676133?query=python, HUAWEI,"1) Responsible for camera calibration, visual localization and 3D reconstruction related algorithm. 2) Responsible for the research, design, develop... ...transportation/vision SLAM/trajectory tracking related projects are preferred. 4) Proficient in at least on programming language (C/C++/Python)."
Database administrator MySQL (Percona),https://vidnoe.hh.ru/vacancy/33674754?query=python, Petrosoft Inc.,"Поддержка production environment. Реинжениринг топологии к простому реплицируемому виду. Анализ нагрузки и выдвижение рекомендаций в продуктовые команды. Резервное копирование/ восстановление... Хорошее понимание Linux, включая возможность проверки производительности аппаратного обеспечения и индикаторов нагрузки. 2+ лет Python/Shell Scripting."
Тестировщик ПО,https://vidnoe.hh.ru/vacancy/33615214?query=python,ООО Образование Будущего,Тестирование разрабатываемых программных продуктов - ручное и автоматическое. Работа с проектной документацией. Взаимодействие с командой разработки. Знание языков Python и JavaScript. Навыки работы в Linux-системах. Знание физических законов на уровне первого-второго курса технического вуза. 
Бизнес-аналитик/Программист,https://vidnoe.hh.ru/vacancy/33794401?query=python,ООО Октан,"1. Описание бизнес-процессов в компании. 2. Поиск, настройка и доработка решений по автоматизации (возможно, разработка собственного ПО). 3.  Высшее образование, приветствуется ВМК МГУ, Мехмат МГУ, МФТИ. 2. Приветствуется знание SQL, PHP, Python. 3. Релевантный практический опыт работы не..."
Data scientist (специалист по анализу данных),https://vidnoe.hh.ru/vacancy/33993630?query=python, Condé Nast,"Взаимодействие с отделом разработки по доработке сервисов отдела анализа данных (на Python): Рекомендательный сервис. ARM – платформа. Сервис для сегментации контента... Хороший уровень знания любого из диалектов SQL. Опыт разработки на Python. Опыт настройки инфраструктуры, деплоя. Опыт разработки ETL процессов. "
Data Scientist / Специалист по машинному обучению,https://vidnoe.hh.ru/vacancy/33565964?query=python, Ситимобил,"Выявление паттернов поведения водителей. Разработка систем машинного зрения. Умное распределение машин по заказам. Разработка алгоритмов навигации и улучшения карт.  Опыт разаработки/анализа с использованием Python от 1года. Знание классических и state-of-the-art алгоритмов Machine Learning, хороший..."
Data Scientist (NLP),https://vidnoe.hh.ru/vacancy/33811532?query=python, Платформа ОФД,"Решение исследовательских и прикладных задач в рамках создания и развития продуктов компании с применением современных методов статистического анализа и машинного... Знание и опыт решения реальных бизнес-задач, используя методы машинного обучения и статистического анализа. Опыт применения Python для обработки и..."
Python backend разработчик,https://vidnoe.hh.ru/vacancy/30392442?query=python, AdCombo.com,"Решать технические и бизнес задачи при разработке новых и доработке существующих REST API приложений с использованием Flask, SQLAlchemy, Sanic и... Знание и опыт работы с Python, чем больше тем лучше. Анализировать чужой код и вдумчиво писать свой с учётом потенциальных..."
Младший бэк-энд разработчик (Python),https://vidnoe.hh.ru/vacancy/31240024?query=python, Институт прикладных экономических исследований РАНХиГС при Президенте Российской Федерации,"Сбором и анализом данных из разнообразных источников. Построением отраслевых и межотраслевых экономических моделей. Разработкой и сопровождением экономических информационных систем.  Языка программирования Python. Языка запросов SQL и принципов организации реляционных СУБД. Пакета Selenium. Основ JavaScript, DOM, HTML, XPath. "
Инженер-программист,https://vidnoe.hh.ru/vacancy/33947675?query=python,ООО ИНИТИ,"Разработка функциональных модулей высокопроизводительной системы параллельных вычислений реального времени (преимущественно под ОС Linux). Опыт программирования на любом из ООП языков (C++, python, perl, java и т.д.). Понимание структур данных (различные виды деревьев..."
QA Engineer/тестировщик ПО,https://vidnoe.hh.ru/vacancy/33887139?query=python,ОАО Межрегиональный ТранзитТелеком,"Ручное тестирование разрабатываемых комплексов. Оформление дефектов, работа с разработчиком в локализации дефектов. Написание сценариев автоматического тестирования. Агрегация и проверка информации... Умение составлять тест-кейсы. Знание программных продуктов: Postman, Jmeter, TestRail, Tsung. Плюсом будет знание язков программирования: PHP, Python."
GFN Software Engineer (Gaming),https://vidnoe.hh.ru/vacancy/33666983?query=python, NVIDIA,"Acquire initial game binaries from various sources, like game developers or distribution platforms. Optimizing game packages for a virtualized environment.  Experience with scripting languages (LUA, Python, Batch). Expertise at gaming PC hardware. Experience in basic debugging and tools (Process Monitor..."
Senior Vue.js Front-end Developer,https://vidnoe.hh.ru/vacancy/32342494?query=python, YCLIENTS LLC,"Разрабатывать почти с нуля обновлённый front-end на vue.js, планировать его архитектуру. Писать легко поддерживаемый и тестируемый код, а также... Отлично знает JavaScript (es.next), TypeScript. Имеет обширный опыт работы с Vue.js. Умеет качественно верстать по mobile-first. Понимает как отлаживать..."
Аналитик,https://vidnoe.hh.ru/vacancy/33943352?query=python, FunCorp,Совместная работа с командой проекта. Анализ финансовых и продуктовых показателей проекта. Ad-hoc аналитика. Построение отчетности для проекта (как в... Понимание основных способов монетизации IT проектов. Уверенное владение SQL. Владение Python на достаточном для аналитика уровне. Опыт работы от 2...
Data Scientist,https://vidnoe.hh.ru/vacancy/31756431?query=python," МАГНИТ, Розничная сеть","Разработка статистических моделей/алгоритмов и их реализация на R, Python. Оптимизация инструментов и подходов к решению задач. Курирование развития младших... Лояльность. Навыки работы с современными аналитическими пакетами на R/Python. Умение работать со стеком технологий BigData (Hadoop, Spark, Hive). "
Тестировщик программного обеспечения,https://vidnoe.hh.ru/vacancy/32644490?query=python,Нек. орг. Государственное бюджетное учреждение города Москвы Центр налоговых доходов,Тестирование функционала информационных систем. Разработка тест кейсов и чек-листов для нового функционала. Разработка методик тестирования. Поддержка и развитие процесса... Опыт работы с инструментами автоматизированного тестирования (Selenium). Опыт работы со скриптовыми языками - python. Оформление результатов тестирования. Написание тест-планов и...
Cистемный администратор Zabbix,https://vidnoe.hh.ru/vacancy/34109960?query=python,ООО ПРОГ МАСТЕР,Администрирование и развитие системы мониторинга Zabbix. Расширение функционала системы мониторинга путем интеграции со сторонними ПО и написание скриптов.  Понимание принципов работы системы мониторинга и опыт ее администрирования навыки написания скриптов (преимущественно Python и Bash). Опыт работы с оборудованием...
System Programming Expert,https://vidnoe.hh.ru/vacancy/33758481?query=python, HUAWEI,"1、Write HUAWEI CLOUD server-side codes efficiently and quickly to build applications with powerful functions. 2、Able to conduct... 3、More than 8 years' expereinces in programming, and proficient in Java、C/C++、C#、Objective C、Python、JavaScript or..."
Исследователь программного обеспечения,https://vidnoe.hh.ru/vacancy/32759493?query=python,АО Информтехника,"Проведение работ по анализу программного обеспечения телекоммуникационного оборудования (в рамках работ по его сертификации). Выявление дефектов/ошибок в реализации, недокументированных... Базовые знания языков программирования (C++, Assembler, Perl, Python, Java). Знание принципов работы операционных систем. Знание принципов разработки и тестирования ПО."
Аналитик,https://vidnoe.hh.ru/vacancy/34011758?query=python,ООО КОНСАЛТИНГ ПОРТ,"Участие в организационных и стратегических проектах. Анализ данных. Финансовое и математическое моделирование. Коммуникация с клиентами. Подготовка презентаций PowerPoint для клиентов. Уверенное владение MS Excel и MS PowerPoint. Знание языков программирования (R, Python, SQL) и специальных программ для анализа данных (Tableau..."
Инженер-программист ( front-end developer ) junior/middle,https://vidnoe.hh.ru/vacancy/32697772?query=python, Институт прикладных экономических исследований РАНХиГС при Президенте Российской Федерации,"Взаимодействовать с дизайнерами, программистами и UX-аналитиками в целях создания удобного и востребованного продукта. Стек технологий: JavaScript, Bootstrap4, Python... Релевантный опыт front-end разработки от 1-ого года. Опыт веб-ориентированной графической визуализации данных (графики, таблицы, диаграммы, карты-схемы). "
Data analyst,https://vidnoe.hh.ru/vacancy/33681718?query=python, Национальный расчетный депозитарий,"Если участники продают и покупают бумаги – НРД проводит расчеты. В том числе в формате поставка против платежа (DVP), когда участники... "
DevOps инженер (администратор),https://vidnoe.hh.ru/vacancy/34114426?query=python," «РОСБАНК, Societe Generale Group», с опытом работы","Установка обновлений и исправлений для банковских приложений. CI/CD. Решение инцидентов. Контроль работоспособности среды и организация мониторинга. Управление правами доступа.  Опыт администрирования серверных ОС семейства Windows. Понимание сетевой корпоративной инфраструктуры. Базовые навыки сетевого администрирования. Опыт работы с Jenkins, BitBucket, Git. "
Стажер (Индустрия 4.0),https://vidnoe.hh.ru/vacancy/32975057?query=python, Сибур,"Наблюдение, изучение, обсуждение и анализ требований конечных пользователей продукта/процесса. Участие в обсуждении текущей бизнес-проблематики и постановка задач с... Студент выпускного курса бакалавриата или 1-2 курса магистратуры по специальностям физика, математика, робототехника, ИТ). Знание ООП, Python или другого..."
Senior C++ developer,https://vidnoe.hh.ru/vacancy/33590595?query=python,ИП Гурфинг Михаил Григорьевич,"Our product is a set of instruments that includes the Clang compiler, a linker, tools, and libraries adapted and optimized... ...file formats, debuggers and experience using them. - familiarity with *nix tools, CMake, make. - scripting languages such as Python and bash."
Ведущий аналитик данных,https://vidnoe.hh.ru/vacancy/33773006?query=python, Сбербанк для экспертов,"Разработка и автоматизация процессов отчетности. Разработка витрин данных. Анализ данных. Контроль качества данных. Участие в проектах по развитию аналитического хранилища.  Опыт построения ETL (SSIS, Informatica). Знание Python будет плюсом. Уверенный пользователь MS Excel и VBA. Умение работать с большими объемами..."
Data Engineer,https://vidnoe.hh.ru/vacancy/32597520?query=python, Платформа ОФД,"Проектирование, разработка и поддержка инфраструктуры для хранения и обработки больших данных. Проектирование и настройка ETL-процессов, используя внутренние и внешние... Опыт работы с распределенными системами хранения и обработки данных: Hadoop, Spark, Hive, Zeppelin. Владение одним из языков программирования: Python, Scala..."
Data Analyst,https://vidnoe.hh.ru/vacancy/33605335?query=python,ООО Плейджендари Ру,"Анализировать ключевые показатели, баланс проекта и поведение пользователей. Проводить эксперименты по тестированию изменений (A/B тестирование, многорукий бандит): разрабатывать гипотезы... Обладаешь отличной математической подготовкой. Имеешь опыт анализа данных на Python (Pandas, Numpy + Scipy, Matplotlib и так далее) и умеешь..."
Риск-аналитик (Интегрированный риск-менеджмент),https://vidnoe.hh.ru/vacancy/34114433?query=python,АО ДОМ.РФ,"Усовершенствование и автоматизация внутренних инструментов по агрегированной оценке рисков, формированию отчетности и проведению стресс-тестирования. Разработка методологии и инструментов по... Отличное владение MS Office. Продвинутые навыки работы в Python. SQL, SAS, R - знание всех систем не является обязательным, но наиболее..."
Data Engineer,https://vidnoe.hh.ru/vacancy/33903327?query=python, Сбербанк для экспертов,"Развитие инфраструктуры данных для обеспечения проведения кампаний продаж, информационных рассылок, аналитики и моделирования в сегменте розничных клиентов Сбербанка.  Высшее техническое образование. Будет плюсом: Опыт работы со стеком технологий Teradata, Python, GreenPlum, Kafka,SPARK. Знание розничного банковского бизнеса. "
Младший инженер-тестировщик (стажер),https://vidnoe.hh.ru/vacancy/34115320?query=python, Mentor Graphics (a Siemens business),"Specific testing and validation procedures including scripts creation to ensure quality of results. Conduct experiments and analyze large data to... Experience with scripting languages (Shell, Perl, Python or TCL) is a plus. Knowledge of lithographic process, RET, DFM/MFD is..."
QA Engineer (Avia),https://vidnoe.hh.ru/vacancy/33730466?query=python, Ostrovok.ru,"Ручное функциональное тестирование. Написание и сопровождение тестовой документации. Локализация, документирование и контроль устранения дефектов. Контроль качества на всех стадия жизни... Базовое знание HTML, CSS, SQL. Чтение кода на языке Python/Golang. Сhrome Dev Tools, Charles/Fiddler, Git. Postman/SoapUI. "
