Название Вакансии,URL,Название компании,Описание
Программист Python,https://vidnoe.hh.ru/vacancy/33887758?query=python," ЭВРИКА, Санкт-Петербург","Проектирование архитектуры программных средств, согласно заданной постановке задач. Разработка, сопровождение и первичное тестирование высоконагруженных прикладных программных средств. Участие в разработке... Опыт разработки на python3, желательно с использованием PyQT. Опыт разработки на C++ будет плюсом. Знание SQL, желательно опыт работы..."
Data Sсientist (ML/Python),https://vidnoe.hh.ru/vacancy/33481247?query=python,ООО Центр недвижимости от Сбербанка,"Разрабатывать и внедрять сервисы, использующие машинное обучение и deep learning. Участвовать в процессе подготовки данных. Разрабатывать различные модели машинного обучения.  Навыки программирования, умение писать хорошо читаемый код, знание Python. Знание и опыт работы с реляционными СУБД (мы используем Postgres). "
Machine Learning Engineer,https://vidnoe.hh.ru/vacancy/34081252?query=python, Nicotech International,Mine the data from internal and external sources. Help building and deploying robust and future proof Data Science models.  Strong object-oriented programming experience and proficiency in Python. Experience of working with popular Python data-related packages such as...
Junior Quantitative Researcher,https://vidnoe.hh.ru/vacancy/31844648?query=python,ООО КВАНТПОРТРУС,"Working with large and complex datasets to build quantitative models which predict future price movements. Applying modern mathematical and statistical... Strong knowledge of probability, statistics, optimization, numerical methods. Good programming skills in Python (numpy, sklearn, pandas, matplotlib, etc.). "
Программист Python,https://vidnoe.hh.ru/vacancy/33795095?query=python,ООО Твигл,"Использование Cython, Python C API, C/C++, Golang. Большим плюсом будет: Хорошее знание Linux систем. Опыт работы с данными в Python: numpy, pandas и прочее. Опыт работы с..."
Python/Django разработчик,https://vidnoe.hh.ru/vacancy/33890189?query=python, ecomsolutions,Docker containers deployment. Experience building REST APIs. Experience with a version control system.
Python Developer,https://vidnoe.hh.ru/vacancy/34069603?query=python, Лаборатория специальных вычислительных систем МФТИ,"Оптимизировать существующие программные модели, производить их рефакторинг. Интегрировать существующие C++ модели в среду Python. Разрабатывать графические инструменты для разработки РЛС.  ...Python не менее 3 лет. Знание методов цифровой обработки сигналов (DSP) и математики вообще. Хорошее знание научно-вычислительного стэка Python..."
Golang/Python developer,https://vidnoe.hh.ru/vacancy/33720457?query=python, Ostrovok.ru,"Поддержка и развитие высоконагруженного API. Технические задачи, связанные с мониторингом и аналитикой API-проекта. Разработка и поддержка интеграций с внешними... Опыт работы с Golang от 1 года (или уверенное знание Python с желанием развиваться на Golang). Опыт работы с СУБД. "
Data science,https://vidnoe.hh.ru/vacancy/33789276?query=python, Тесуджи,"Разработка предиктивных моделей для различных бизнес-задач компании (скоринг, поведенческие модели, антифрод, collection). Поддержка стабильности и валидация существующих моделей.  Опыт работы хотя бы с одним языком программирования: Python (библиотеки numpy, pandas, sklearn), R. Знание других языков приветствуется. "
Python Backend разработчик,https://vidnoe.hh.ru/vacancy/33653192?query=python,ООО Декаст Инжиниринг,"Работа с большими данными, анализ данных, разработка парсеров и интеграций. Поддержка высоконагруженных систем. Иметь представление об HTTP, CoAP, MQTT, TCP... Опыт производственной разработки в команде на Django с Python 3. Разработка на *unix + git."
Python developer,https://vidnoe.hh.ru/vacancy/33023986?query=python, Билайн,"Участие в планировании и проектировании задач. Разработка серверной части web-приложений на языке Python. Проведение code review. Написание UNIT и... Уверенное знание Python. Опыт работы с Django/DjangoRestFramework. Навыки программирования (ООП, паттерны, чистый код). Опыт командной работы с системой контроля..."
Junior Python разработчик,https://vidnoe.hh.ru/vacancy/33876623?query=python, amoCRM,"Задачи, с которыми придется столкнуться в первую очередь: написание тестов/автотестов, решение багов и простых задач. В последствии разработка нового... Потребуется: Знание Python (есть практический опыт и результаты, не обязательно коммерческие). Опыт написания SQL запросов (желательно умение работать со связями). "
Backend python/Django разработчик,https://vidnoe.hh.ru/vacancy/33787768?query=python,ООО БОЛЬШАЯ ТРОЙКА,Проектировать и разрабатывать серверные приложения (backend) сложных web-порталов в agile команде. Прямо сейчас в разработке информсистема масштабов региона с... 1-3 года промышленной разработки на Python. Отличное знание и владение: Python. Django. PostgreSQL. Опыт по созданию моделей в БД. 
Разработчик Python,https://vidnoe.hh.ru/vacancy/33828496?query=python, Открытые Технологии,Реализация нового функционала. Анализ чужого кода. Опыт промышленной разработки на Python. Опыт разработки многопоточных приложений. Опыт разработки многопроцессорных систем. Опыт работы с системами контроля версий. 
Тестировщик / QA,https://vidnoe.hh.ru/vacancy/33650546?query=python,"ЗАО СВЕМЕЛ, Многопрофильное внедренческое предприятие","Тестирование: прошивок для тонких клиентов, различных прикладных утилит, компонентов ОС (собственная разработка). Ведение тестовой документации. Взаимодействие с разработчиками. ...продвинутого пользователя (установка/настройка, сети, виртуализация (libvirt/kvm/qemu), bash). Знание Python, Ansible, git. Умение писать автотесты (Selenium, Java, Python)."
Python developer,https://vidnoe.hh.ru/vacancy/30005963?query=python, NetworkOptix,"Исследование проблем в работе тестируемого продукта с помощью различных инструментов. Библиотека для тестирования — Python-проект для работы с виртуальными машинами... Умение и опыт работы в команде. Уверенные знания Python. Опыт разработки под Linux, знание командной строки Linux. Наличие примеров кода. "
Senior Python Developer,https://vidnoe.hh.ru/vacancy/33635746?query=python,ООО Речевая аналитика,"Speech Analytics — первый и единственный в России сервис речевой аналитики для контакт-центров. Мы создали гибкую аналитическую платформу для мониторинга... Опыт разработки на Python от 3 лет. Прекрасные знания основных концепций веб-разработки (кэширование, сессии, очереди задач, работа со сторонними..."
Data scientist,https://vidnoe.hh.ru/vacancy/33842129?query=python, Свордфиш Секьюрити,"Извлечение данных из нескольких информационный систем. Анализ данных: выявление паттернов,кластеризация, выявление аномалий, статистика. Hadoop как плюс. Postrgre SQL MySQL. Java как плюс. Математическая статистика. Python обязательно. Знание BI Tableu. Опыт подготовки аналитических отчетов."
Разработчик Python,https://vidnoe.hh.ru/vacancy/33912680?query=python, Сбербанк для экспертов,"1. Разработка новых модулей системы. 2. Интеграция с другими системами банка. 3. Улучшение процессов CI/CD. 4. Покрытие функционала тестами.  2. Postgres, Kafka, ELK, prometheus (или другие системы для сбора логов и метрик). 3. Asyncio. Дополнительные преимущества."
PHP программист,https://vidnoe.hh.ru/vacancy/33948620?query=python,ООО РАДУГА-ИНТЕРНЕТ,"Сопровождение и развитие oss/bss и crm-системы, web-сайта . Навыки работы в Linux. Знание mysql. Желательно знание Python."
Разработчик Python Backend,https://vidnoe.hh.ru/vacancy/33690157?query=python, Web Interactive World,"Сбор данных, разработка архитектуры их хранения, представление их удобном для анализа виде. Построение архитектуры решения, написание ключевых блоков кода проекта.  Отличное знание Python 3.6 (ООП). Опыт работы с веб-фреймворками Django, Celery. Владение многопоточным multiprocessing и асинхронными подходами asyncio..."
Разработчик Python,https://vidnoe.hh.ru/vacancy/33875623?query=python,ООО Кузница Кадров,"Проектирование и реализация законченных функциональных модулей системы. Ввод системы в промышленную эксплуатацию. Работа на стеке: Oracle/Hadoop/Teradata, Python/Spark... ...Python или Java от 1 года. Уверенные знания SQL. Знание реляционных баз данных (RDB). Желание развиваться в разработке на Python."
Программист Python,https://vidnoe.hh.ru/vacancy/33841740?query=python, Интерфакс,"Участвовать в реализации компонентов системы. - Разрабатывать предложения по рефакторингу, принимать участие в развитии внутренних стандартов и практик. - Участвовать в code... Хорошее знание языка программирования Python (версии 2 и 3). - Опыт разработки с использованием фреймворков Django, Flask. - Опыт использования SQLAlchemy, написание..."
Python разработчик / Python software developer,https://vidnoe.hh.ru/vacancy/33416348?query=python, Cindicator,Про процесс интервью: Два подряд идущих интервью на способность решения брейнтизеров: загадки из разных областей программирования и логики.  Богатый опыт в коммерческой разработке ПО на Python. Он может быть связан с любой из этих областей (или сразу со...
Computer vision data scientist,https://vidnoe.hh.ru/vacancy/34068961?query=python," AROUND, Группа компаний","По видеокадрам детектировать людей и идентифицировать лицо человека. Оптимизировать алгоритм идентификации лиц, определения эмоций, пола, возраста. Идентификация лиц на больших... Алгоритмы распознавания лиц. Кластеризация изображений. Docker. Сегментация изображений и детекция объектов. Python, tensorflow, keras, postgres. Опыт использования нейросетей в задачах..."
Python- разработчик,https://vidnoe.hh.ru/vacancy/33956135?query=python,ООО Кузница Кадров,"Разработка алгоритмов подготовки, преобразования и верификации данных товарной номенклатуры из различных источников, а также автоматическая рубрикация и кластеризация описаний товаров... Опыт разработки на языке python от двух лет. Законченное высшее техническое образование. Хорошую математическую подготовку, знание математической статистики. "
Data scientist (NLP/NLU),https://vidnoe.hh.ru/vacancy/33481272?query=python,ООО Центр недвижимости от Сбербанка,"Знакомы с классическими алгоритмами и структурами данных. Анализ звонков и отзывов, определение фрода, оценка недвижимости, классификация текстов, речевая аналитика, поиск... Умеете писать хорошо читаемый код на Python. - Обладаете хорошей математической подготовкой (теория вероятностей, линейная алгебра, методы оптимизации). Будет плюсом опыт..."
Python developer,https://vidnoe.hh.ru/vacancy/33614889?query=python, Align Technology Inc,Что делать в команде? Разработка и доработка фичей. Анализ проблем и исправление дефектов. Рефакторинг и оптимизация. Поддержка интеграции с CI... Опыт работы в качестве Python разработчика 2-3+. Опыт работы с REST. Опыт работы с реляционными и не реляционными...
